Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Engineering Structures | Behavior of eccentrically loaded slender concrete-filled steel tubes with defect representing random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo | 2024",37.8,fcu150,210-35-4-0-1050,345,30.88438211,0,140,140,4,70,2100,25,25,520
"Engineering Structures | Behavior of eccentrically loaded slender concrete-filled steel tubes with defect representing random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo | 2024",37.8,fcu150,210-70-4-0-1050,345,30.88438211,0,140,140,4,70,2100,25,25,474
"Engineering Structures | Behavior of eccentrically loaded slender concrete-filled steel tubes with defect representing random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo | 2024",37.8,fcu150,210-70-2-0-1050,345,30.88438211,0,140,140,4,70,2100,25,25,550
"Engineering Structures | Behavior of eccentrically loaded slender concrete-filled steel tubes with defect representing random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo | 2024",37.8,fcu150,210-70-4-180-1050,345,30.88438211,0,140,140,4,70,2100,25,25,531
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",35.2,fcu150,1 L-t2-C30-e0.1,413,28.54217761,0,140,140,2,70,500,14,14,1250
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",46.1,fcu150,2 L-t2-C40-e0.3,413,38.46072155,0,140,140,2,70,500,42,42,1163
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",35.2,fcu150,1 L-t2-C30-e0.3,413,28.54217761,0,140,140,2,70,500,42,42,966
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",35.2,fcu150,1 L-t2-C30-e0.5,413,28.54217761,0,140,140,2,70,500,70,70,738
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",35.2,fcu150,2 L-t2-C30-e0.1,413,28.54217761,0,140,140,2,70,500,14,14,1289
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",35.2,fcu150,2 L-t2-C30-e0.3,413,28.54217761,0,140,140,2,70,500,42,42,996
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",35.2,fcu150,2 L-t2-C30-e0.5,413,28.54217761,0,140,140,2,70,500,70,70,755
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",46.1,fcu150,2 L-t2-C40-e0.1,413,38.46072155,0,140,140,2,70,500,14,14,1416
"Engineering Structures | Numerical investigation and design of CFST columns strengthened by CFRP grid-reinforced ECC under eccentric compression | Zaiyu Zhang, Xiaoyang Guo, Yinxuan Song... | 2024",46.1,fcu150,2 L-t2-C40-e0.5,413,38.46072155,0,140,140,2,70,500,70,70,882
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V20-t3-N,241,64.04826669,0,165,165,3,82.5,500,0,0,1506.69
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V20-t3-M,241,64.04826669,0,165,165,3,82.5,500,0,0,1959.86
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V10-t4.25-M,243,64.04826669,0,165,165,4.25,82.5,500,0,0,2142.71
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V20-t3.5-M,237,64.04826669,0,165,165,3.5,82.5,500,0,0,2103
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V20-t4.25-M,243,64.04826669,0,165,165,4.25,82.5,500,0,0,2286.19
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V30-t3-M,241,64.04826669,0,165,165,3,82.5,500,0,0,1897.89
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V30-t3.5-M,237,64.04826669,0,165,165,3.5,82.5,500,0,0,2126.41
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V30-t4.25-M,243,64.04826669,0,165,165,4.25,82.5,500,0,0,2320.44
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V20-t4.25-N,243,64.04826669,0,165,165,4.25,82.5,500,0,0,1781.2
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",53.4,"fcu,150",CFST-158-C40-0,339,45.23,0,158,158,4,79,474,0,0,1835
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",33.1,"fcu,150",CFST-140-C40-100%,328,26.66,100,140,140,4,70,420,0,0,1187
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",44.9,"fcu,150",CFST-140-C40-50%,336,37.36,50,140,140,4,70,420,0,0,1394
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",53.4,"fcu,150",CFST-140-C40-0,339,45.23,0,140,140,4,70,420,0,0,1530
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",33.1,"fcu,150",CFST-127-C40-100%,328,26.66,100,127,127,4,63.5,381,0,0,1023
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",44.9,"fcu,150",CFST-127-C40-50%,336,37.36,50,127,127,4,63.5,381,0,0,1165
"哈尔滨工业大学学报 | 钢管煤矸石混凝土轴心受压承载能力 | 赵卫平, 陈明亮, 张国炜... | 2024",53.4,"fcu,150",CFST-127-C40-0,339,45.23,0,127,127,4,63.5,381,0,0,1288
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V10-t3-N,241,64.04826669,0,165,165,3,82.5,500,0,0,1652.18
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V20-t3.5-N,237,64.04826669,0,165,165,3.5,82.5,500,0,0,1637.39
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V0-t3-N,241,64.04826669,0,165,165,3,82.5,500,0,0,1908.84
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V0-t3.5-N,237,64.04826669,0,165,165,3.5,82.5,500,0,0,2169.54
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V0-t4.25-N,243,64.04826669,0,165,165,4.25,82.5,500,0,0,2357.82
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V10-t3-M,241,64.04826669,0,165,165,3,82.5,500,0,0,1891.19
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",73.24,fcu150,V10-t3.5-N,237,64.04826669,0,165,165,3.5,82.5,500,0,0,1774.48
