Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR4-A-2,262,24.272,0,148,148,4.38,0,296,0,0,1153
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR4-A-4-1,262,38.702,0,148,148,4.38,0,296,0,0,1414
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR4-A-4-2,262,38.702,0,148,148,4.38,0,296,0,0,1402
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR4-A-8,262,73.581,0,148,148,4.38,0,296,0,0,2108
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR4-C-2,262,24.272,0,215,215,4.38,0,430,0,0,1777
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-C-4-1,262,39.275,0,215,215,4.38,0,430,0,0,2424
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-C-4-2,262,39.275,0,215,215,4.38,0,430,0,0,2393
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",80.3,Cylinder 100x200,CR4-C-8,262,76.735,0,215,215,4.38,0,430,0,0,3837
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR4-D-2,262,24.272,0,323,323,4.38,0,646,0,0,3367
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-D-4-1,262,39.275,0,323,323,4.38,0,646,0,0,4950
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-D-4-2,262,39.275,0,323,323,4.38,0,646,0,0,4830
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",80.3,Cylinder 100x200,CR4-D-8,262,76.735,0,324,324,4.38,0,648,0,0,7481
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR6-A-2,618,24.272,0,144,144,6.36,0,288,0,0,2572
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-A-4-1,618,38.702,0,144,144,6.36,0,288,0,0,2808
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-A-4-2,618,38.702,0,144,144,6.36,0,288,0,0,2765
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR6-A-8,618,73.581,0,144,144,6.36,0,288,0,0,3399
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR6-C-2,618,24.272,0,211,211,6.36,0,422,0,0,3920
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-C-4-1,618,38.702,0,211,211,6.36,0,422,0,0,4428
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-C-4-2,618,38.702,0,211,211,6.36,0,422,0,0,4484
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR6-C-8,618,73.581,0,211,211,6.36,0,422,0,0,5758
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR6-D-2,618,24.272,0,319,319,6.36,0,638,0,0,6320
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR6-D-4-1,618,39.275,0,319,319,6.36,0,638,0,0,7780
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR6-D-4-2,618,39.275,0,318,318,6.36,0,636,0,0,7473
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",85.1,Cylinder 100x200,CR6-D-8,618,81.322,0,319,319,6.36,0,638,0,0,10357
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR8-A-2,835,24.272,0,120,120,6.47,0,240,0,0,2819
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-A-4-1,835,38.702,0,120,120,6.47,0,240,0,0,2957
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-A-4-2,835,38.702,0,120,120,6.47,0,240,0,0,2961
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR8-A-8,835,73.581,0,119,119,6.47,0,238,0,0,3318
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR8-C-2,835,24.272,0,175,175,6.47,0,350,0,0,4210
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-C-4-1,835,38.702,0,175,175,6.47,0,350,0,0,4493
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-C-4-2,835,38.702,0,175,175,6.47,0,350,0,0,4542
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR8-C-8,835,73.581,0,175,175,6.47,0,350,0,0,5366
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR8-D-2,835,24.272,0,265,265,6.47,0,530,0,0,6546
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR8-D-4-1,835,39.275,0,264,264,6.47,0,528,0,0,7117
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR8-D-4-2,835,39.275,0,265,265,6.47,0,530,0,0,7172
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",80.3,Cylinder 100x200,CR8-D-8,835,76.735,0,265,265,6.47,0,530,0,0,8990
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",39.1,Cylinder 100x200,CR4-A-4-3,294,37.364,0,210,210,5.48,0,420,0,0,3183
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",91.1,Cylinder 100x200,CR4-A-9,294,87.055,0,211,211,5.48,0,422,0,0,4773
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",39.1,Cylinder 100x200,CR4-C-4-3,277,37.364,0,210,210,4.5,0,420,0,0,2713
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",91.1,Cylinder 100x200,CR4-C-9,277,87.055,0,211,211,4.5,0,422,0,0,4371
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",39.1,Cylinder 100x200,CR6-A-4-3,536,37.364,0,211,211,8.83,0,422,0,0,5898
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",91.1,Cylinder 100x200,CR6-A-9,536,87.055,0,211,211,8.83,0,422,0,0,7008
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",39.1,Cylinder 100x200,CR6-C-4-3,540,37.364,0,204,204,5.95,0,408,0,0,4026
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",91.1,Cylinder 100x200,CR6-C-9,540,87.055,0,204,204,5.95,0,408,0,0,5303
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",39.1,Cylinder 100x200,CR8-A-4-3,825,37.364,0,180,180,9.45,0,360,0,0,6803
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",91.1,Cylinder 100x200,CR8-A-9,825,87.055,0,180,180,9.45,0,360,0,0,7402
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",39.1,Cylinder 100x200,CR8-C-4-3,824,37.364,0,180,180,6.6,0,360,0,0,5028
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",91.1,Cylinder 100x200,CR8-C-9,824,87.055,0,180,180,6.6,0,360,0,0,5873
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",38,Cylinder 150x300,30O-1,413,38,0,178,178,5.6,0,695,0,0,2733
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",38,Cylinder 150x300,30O-2,413,38,0,178,178,5.6,0,695,0,0,2680
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",38,Cylinder 150x300,30S-1,485,38,0,200,200,6,0,695,0,0,3488
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",38,Cylinder 150x300,30S-2,485,38,0,200,200,6,0,695,0,0,3452
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",80.5,Cylinder 150x300,50O-1,413,80.5,0,178,178,5.6,0,695,0,0,3543
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",80.5,Cylinder 150x300,50O-2,413,80.5,0,178,178,5.6,0,695,0,0,3549
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",80.5,Cylinder 150x300,50S-1,485,80.5,0,200,200,6,0,695,0,0,4921
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",80.5,Cylinder 150x300,50S-2,485,80.5,0,200,200,6,0,695,0,0,4973
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80O-1,413,112.1,0,178,178,5.6,0,695,0,0,4199
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80O-2,413,112.1,0,178,178,5.6,0,695,0,0,4153
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80O-3,413,112.1,0,178,178,5.6,0,695,0,0,4203
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80S-1,485,112.1,0,200,200,6,0,695,0,0,6060
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80S-2,485,112.1,0,200,200,6,0,695,0,0,6298
"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80S-3,485,112.1,0,200,200,6,0,695,0,0,6218
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C1-N,360,26.93,0,200,100,5,0,2000,0,0,1242
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C2-N,360,26.93,0,200,100,5,0,2000,0,0,1242
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C3-LW,360,7.015,0,200,100,5,0,2000,0,0,1062
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C4-LW,360,7.015,0,200,100,5,0,2000,0,0,1022
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C6-N,366,26.93,0,140,140,4,0,2100,0,0,1011
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C7-LW,366,7.015,0,140,140,4,0,2100,0,0,716
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C8-N,362,26.93,0,140,140,5,0,2100,0,0,1248
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C9-LW,362,7.015,0,140,140,5,0,2100,0,0,1005
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C28-N,320,26.93,0,150,90,3,0,2250,0,0,691
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C29-N,320,26.93,0,150,90,3,0,2250,0,0,638
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C30LW,320,7.015,0,150,90,3,0,2250,0,0,503
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C31LW,320,7.015,0,150,90,3,0,2250,0,0,491
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C32LW,320,7.015,0,150,90,3,0,2250,0,0,515
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C33LW,320,7.015,0,150,90,3,0,2250,0,0,492
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C34-N,320,26.93,0,150,90,3,0,2250,0,0,738
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C35-N,320,26.93,0,150,90,3,0,2250,0,0,625
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C36-N,240,26.93,0,100,100,2,0,2500,0,0,350
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C37-N,240,26.93,0,100,100,2,0,2500,0,0,360
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C38-N,240,26.93,0,100,100,2,0,2500,0,0,396
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",33.4,cube,C39-N,240,26.93,0,100,100,2,0,2500,0,0,342
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C40LW,240,7.015,0,100,100,2,0,2500,0,0,261
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C41LW,240,7.015,0,100,100,2,0,2500,0,0,240
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C42LW,240,7.015,0,100,100,2,0,2500,0,0,265
"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C43LW,240,7.015,0,100,100,2,0,2500,0,0,243
"Strength of Concrete Filled Steel Tubular Columns, Muhammad Naseem Baig; Fan Jiansheng; Nie Jianguo, TSINGHUA SCIENCE AND TECHNOLOGY, 2006",27.59,Cylinder 150x300,4SF,250,27.59,0,125.66,125.66,2.5,0,750.19,0,0,594
"Strength of Concrete Filled Steel Tubular Columns, Muhammad Naseem Baig; Fan Jiansheng; Nie Jianguo, TSINGHUA SCIENCE AND TECHNOLOGY, 2006",27.59,Cylinder 150x300,4SFB,250,27.59,0,125.66,125.66,2.5,0,750.19,0,0,595
"Strength of Concrete Filled Steel Tubular Columns, Muhammad Naseem Baig; Fan Jiansheng; Nie Jianguo, TSINGHUA SCIENCE AND TECHNOLOGY, 2006",27.59,Cylinder 150x300,6SF,250,27.59,0,87.38,87.38,2.5,0,749.72,0,0,450
"Strength of Concrete Filled Steel Tubular Columns, Muhammad Naseem Baig; Fan Jiansheng; Nie Jianguo, TSINGHUA SCIENCE AND TECHNOLOGY, 2006",27.59,Cylinder 150x300,6SFB,250,27.59,0,87.38,87.38,2.5,0,749.72,0,0,407
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA1-1,282,71.543,0,60,60,1.87,0,180,0,0,382
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA1-2,282,71.543,0,60,60,1.87,0,180,0,0,350
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA2-1,282,71.543,0,100,100,1.87,0,300,0,0,860
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA2-2,282,71.543,0,100,100,1.87,0,300,0,0,840
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA3-1,282,71.543,0,150,150,1.87,0,450,0,0,1662
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA3-2,282,71.543,0,150,150,1.87,0,450,0,0,1740
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA4-1,282,71.543,0,200,200,1.87,0,600,0,0,2890
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SA4-2,282,71.543,0,200,200,1.87,0,600,0,0,2920
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",60,cube,SA5-1,282,51.431,0,250,250,1.87,0,750,0,0,3304
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",60,cube,SA5-2,282,51.431,0,250,250,1.87,0,750,0,0,3400
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB1-1,404,42.903,0,60,60,2,0,180,0,0,318
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB1-2,404,42.903,0,60,60,2,0,180,0,0,322
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB2-1,404,42.903,0,100,100,2,0,300,0,0,770
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB2-2,404,42.903,0,100,100,2,0,300,0,0,772
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB3-1,404,42.903,0,150,150,2,0,450,0,0,1300
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB3-2,404,42.903,0,150,150,2,0,450,0,0,1420
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB4-1,404,42.903,0,200,200,2,0,600,0,0,1990
"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",50.9,cube,SB4-2,404,42.903,0,200,200,2,0,600,0,0,2054
