b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
100.0,100.0,0.0,2.0,0.0,240.0,7.015,2500.0,0.0,0.0,240.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,2.851033499643621,3.2666399786453053,86.53323061113575,0.7114497159369871,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,7.015,2500.0,0.0,0.0,265.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,2.851033499643621,3.2666399786453053,86.53323061113575,0.7114497159369871,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,7.015,2500.0,0.0,0.0,243.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,2.851033499643621,3.2666399786453053,86.53323061113575,0.7114497159369871,0.0,0.0,0.0
125.66,125.66,0.0,2.5,0.0,250.0,27.59,750.19,0.0,0.0,594.0,0.0,50.263999999999996,14558.835599999999,1206.6,68.07511515087228,2.764803055417886,0.33333333333333337,0.7509741486461409,3.3845004023501084,20.664303435373007,0.21071033489259647,0.0,0.0,0.0
125.66,125.66,0.0,2.5,0.0,250.0,27.59,750.19,0.0,0.0,595.0,0.0,50.263999999999996,14558.835599999999,1206.6,68.07511515087228,2.764803055417886,0.33333333333333337,0.7509741486461409,3.3845004023501084,20.664303435373007,0.21071033489259647,0.0,0.0,0.0
87.38,87.38,0.0,2.5,0.0,250.0,27.59,749.72,0.0,0.0,450.0,0.0,34.952,6786.464399999999,823.8,46.47793789266416,2.7401725443747083,0.33333333333333337,1.0999337311925632,4.913034493022698,29.67327705564902,0.28960238879746564,0.0,0.0,0.0
87.38,87.38,0.0,2.5,0.0,250.0,27.59,749.72,0.0,0.0,407.0,0.0,34.952,6786.464399999999,823.8,46.47793789266416,2.7401725443747083,0.33333333333333337,1.0999337311925632,4.913034493022698,29.67327705564902,0.28960238879746564,0.0,0.0,0.0
60.0,60.0,0.0,1.87,0.0,282.0,71.543,180.0,0.0,0.0,382.0,0.0,32.0855614973262,3165.1875999999997,420.8248,31.741305970396766,2.044241219158444,0.33333333333333337,0.5240634010181313,6.053899445098722,10.37209583449748,0.12684915335780217,0.0,0.0,0.0
60.0,60.0,0.0,1.87,0.0,282.0,71.543,180.0,0.0,0.0,350.0,0.0,32.0855614973262,3165.1875999999997,420.8248,31.741305970396766,2.044241219158444,0.33333333333333337,0.5240634010181313,6.053899445098722,10.37209583449748,0.12684915335780217,0.0,0.0,0.0
100.0,100.0,0.0,1.87,0.0,282.0,71.543,300.0,0.0,0.0,860.0,0.0,53.475935828877,9265.9876,720.0248,54.30888931230702,2.070596943546022,0.33333333333333337,0.3062934442268862,3.5838720908847472,10.38503413186495,0.1382050038909928,0.0,0.0,0.0
100.0,100.0,0.0,1.87,0.0,282.0,71.543,300.0,0.0,0.0,840.0,0.0,53.475935828877,9265.9876,720.0248,54.30888931230702,2.070596943546022,0.33333333333333337,0.3062934442268862,3.5838720908847472,10.38503413186495,0.1382050038909928,0.0,0.0,0.0
